2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-13 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-16 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-19 
2015/04/09 04:19:13 INFO  - jmeter.protocol.http.sampler.HTTPJavaImpl: Maximum connection retries = 10 
2015/04/09 04:19:13 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2015/04/09 04:19:13 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2015/04/09 04:19:13 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-18 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-17 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-23 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-22 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-20 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-21 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-24 
2015/04/09 04:19:13 ERROR - jmeter.samplers.SampleEvent: Cannot obtain local host name java.net.UnknownHostException: fijoguille-localdomain: fijoguille-localdomain: Name or service not known 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-25 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-26 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-27 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-28 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-29 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-30 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-31 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-32 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-33 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-34 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-35 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-36 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-37 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-38 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-39 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-40 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-41 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-42 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-43 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-44 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-45 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-46 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-47 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-48 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-49 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-50 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-51 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-52 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-53 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-54 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-55 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-56 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-57 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-58 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-59 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-60 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-61 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-62 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-63 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-64 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-65 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-66 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-67 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-68 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-69 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-70 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-71 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-72 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-73 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-74 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-75 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-76 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-77 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-78 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-79 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-80 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-81 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-82 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-83 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-84 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-85 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-86 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-90 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-89 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-88 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-87 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-91 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-93 
2015/04/09 04:19:14 INFO  - jmeter.engine.StandardJMeterEngine: All threads have been started 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-92 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-94 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-95 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-96 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-97 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-98 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-99 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-100 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-101 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-102 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-103 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-104 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-105 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-106 
2015/04/09 04:19:14 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-107 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-108 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-109 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-110 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-111 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-112 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-113 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-114 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-115 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-116 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-117 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-118 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-119 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-120 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-121 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-122 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-123 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-124 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-125 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-126 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-127 
2015/04/09 04:19:15 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-128 
